pair,threads,repetition,nonce_a,nonce_b,hash,phase_a_seconds,phase_b_seconds,total_seconds,,threads,avg_phase_a,avg_phase_b,avg_total_seconds
1_kilo,1,1,0x0000000000cab08f,0x0000000000cd32e6,39c991010b31,1083.944672,867.525281,1951.530173,,1,1082.846873,867.2253493,1950.132416
1_kilo,1,2,0x0000000000cab08f,0x0000000000cd32e6,39c991010b31,1082.123939,867.147795,1949.331135,,2,545.354731,254.311165,799.725201
1_kilo,1,3,0x0000000000cab08f,0x0000000000cd32e6,39c991010b31,1082.472007,867.002972,1949.535941,,4,271.1109497,579.094507,850.2638537
1_kilo,2,1,0x00000000002ebe69,0x00000000043bcb0d,4194cb63c1fb,544.088049,254.244179,798.387383,,8,206.435099,398.700817,605.1984043
1_kilo,2,2,0x00000000002ebe69,0x00000000043bcb0d,4194cb63c1fb,547.458848,254.352723,801.869345,,16,68.61293367,169.5772323,238.2678213
1_kilo,2,3,0x00000000002ebe69,0x00000000043bcb0d,4194cb63c1fb,544.517296,254.336593,798.918875,,32,34.41648933,63.550574,98.04472967
1_kilo,4,1,0x000000000069cf37,0x0000000005283290,762c985f9971,271.289401,579.501596,850.84912,,64,17.31372,50.85988933,68.25171133
1_kilo,4,2,0x000000000069cf37,0x0000000005283290,762c985f9971,271.028628,578.844699,849.931874,,96,11.72173633,4.259226,16.09990933
1_kilo,4,3,0x000000000069cf37,0x0000000005283290,762c985f9971,271.01482,578.937226,850.010567,,,,,
1_kilo,8,1,0x000000000069cf37,0x0000000005283290,762c985f9971,207.928707,320.999476,528.98596,,,,,
1_kilo,8,2,0x000000000069cf37,0x0000000005283290,762c985f9971,223.518216,554.076626,777.666995,,,,,
1_kilo,8,3,0x000000000069cf37,0x0000000005283290,762c985f9971,187.858374,321.026349,508.942258,,,,,
1_kilo,16,1,0x00000000002ebe69,0x00000000043bcb0d,4194cb63c1fb,68.58502,169.500209,238.167514,,,,,
1_kilo,16,2,0x00000000002ebe69,0x00000000043bcb0d,4194cb63c1fb,68.588116,169.704058,238.375072,,,,,
1_kilo,16,3,0x00000000002ebe69,0x00000000043bcb0d,4194cb63c1fb,68.665665,169.52743,238.260878,,,,,
1_kilo,32,1,0x0000000000abb4d5,0x0000000001a9f892,00274a25f8ca,34.429892,63.542834,98.050973,,,,,
1_kilo,32,2,0x0000000000abb4d5,0x0000000001a9f892,00274a25f8ca,34.390703,63.538916,98.007421,,,,,
1_kilo,32,3,0x0000000000abb4d5,0x0000000001a9f892,00274a25f8ca,34.428873,63.569972,98.075795,,,,,
1_kilo,64,1,0x00000000002ebe69,0x00000000043bcb0d,4194cb63c1fb,17.309188,50.848861,68.235699,,,,,
1_kilo,64,2,0x00000000002ebe69,0x00000000043bcb0d,4194cb63c1fb,17.3117,50.8774,68.26701,,,,,
1_kilo,64,3,0x00000000002ebe69,0x00000000043bcb0d,4194cb63c1fb,17.320272,50.853407,68.252425,,,,,
1_kilo,96,1,0x000000000069cf37,0x0000000005283290,762c985f9971,11.710599,4.247856,16.076628,,,,,
1_kilo,96,2,0x000000000069cf37,0x0000000005283290,762c985f9971,11.737481,4.26124,16.118512,,,,,
1_kilo,96,3,0x000000000069cf37,0x0000000005283290,762c985f9971,11.717129,4.268582,16.104588,,,,,
